FirstDateOfWeek,LastDateOfWeek,MMWRweek,MMWRyear,Disease,Place_name,Cases,Cases_Label,ReportWeekBegin,ReportWeekEnd,ReportWeek,ReportYear,RunDate
2020-01-19,2020-01-25,4,2020,Gonorrhea,Oregon,144,144,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-19,2020-01-25,4,2020,Hepatitis B (acute),Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-19,2020-01-25,4,2020,HUS,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-19,2020-01-25,4,2020,Listeriosis,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-19,2020-01-25,4,2020,Mpox,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-19,2020-01-25,4,2020,Mumps,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-19,2020-01-25,4,2020,Pertussis,Oregon,17,17,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-19,2020-01-25,4,2020,Pesticide Poisoning,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-19,2020-01-25,4,2020,Vibriosis,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-26,2020-02-01,5,2020,Campylobacteriosis,Oregon,24,24,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-26,2020-02-01,5,2020,Childhood lead poisoning,Oregon,,1 to 5,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-26,2020-02-01,5,2020,Chlamydia,Oregon,426,426,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-26,2020-02-01,5,2020,Early syphilis,Oregon,19,19,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-26,2020-02-01,5,2020,Haemophilus influenzae,Oregon,3,3,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-26,2020-02-01,5,2020,Hepatitis C (chronic),Oregon,129,129,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-26,2020-02-01,5,2020,Malaria,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-26,2020-02-01,5,2020,Measles,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-02,2020-02-08,6,2020,Coccidioidomycosis,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-02,2020-02-08,6,2020,CRE,Oregon,4,4,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-02,2020-02-08,6,2020,Cryptococcosis,Oregon,2,2,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-02,2020-02-08,6,2020,E. coli (STEC),Oregon,5,5,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-02,2020-02-08,6,2020,Giardiasis,Oregon,2,2,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-02,2020-02-08,6,2020,Gonorrhea,Oregon,129,129,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-02,2020-02-08,6,2020,Hepatitis A,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-02,2020-02-08,6,2020,Salmonellosis,Oregon,2,2,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-02,2020-02-08,6,2020,Tuberculosis,Oregon,1,1,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-02,2020-02-08,6,2020,Vibriosis,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-02,2020-02-08,6,2020,Yersiniosis,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-09,2020-02-15,7,2020,Adult lead poisoning,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-09,2020-02-15,7,2020,Childhood lead poisoning,Oregon,,1 to 5,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-09,2020-02-15,7,2020,Cryptosporidiosis,Oregon,1,1,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-09,2020-02-15,7,2020,Hepatitis B (chronic),Oregon,12,12,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-09,2020-02-15,7,2020,Hepatitis C (acute),Oregon,1,1,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-09,2020-02-15,7,2020,Legionellosis,Oregon,2,2,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-09,2020-02-15,7,2020,Lyme disease,Oregon,1,1,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-09,2020-02-15,7,2020,Meningococcal disease,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-09,2020-02-15,7,2020,Shigellosis,Oregon,3,3,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-09,2020-02-15,7,2020,West Nile virus,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-16,2020-02-22,8,2020,CRE,Oregon,8,8,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-16,2020-02-22,8,2020,Cryptococcosis,Oregon,1,1,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-16,2020-02-22,8,2020,Extrapulmonary NTM,Oregon,3,3,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-16,2020-02-22,8,2020,Giardiasis,Oregon,3,3,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-16,2020-02-22,8,2020,HIV,Oregon,5,5,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-16,2020-02-22,8,2020,Salmonellosis,Oregon,2,2,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-16,2020-02-22,8,2020,Tuberculosis,Oregon,1,1,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-12,2020-01-18,3,2020,Campylobacteriosis,Oregon,22,22,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-12,2020-01-18,3,2020,Childhood lead poisoning,Oregon,,1 to 5,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-12,2020-01-18,3,2020,Chlamydia,Oregon,378,378,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-12,2020-01-18,3,2020,CRE,Oregon,2,2,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-12,2020-01-18,3,2020,Cryptosporidiosis,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-12,2020-01-18,3,2020,Early syphilis,Oregon,22,22,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-12,2020-01-18,3,2020,Giardiasis,Oregon,3,3,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-12,2020-01-18,3,2020,Gonorrhea,Oregon,166,166,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-12,2020-01-18,3,2020,Hepatitis A,Oregon,2,2,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-12,2020-01-18,3,2020,Malaria,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-12,2020-01-18,3,2020,Measles,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-12,2020-01-18,3,2020,Yersiniosis,Oregon,1,1,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-19,2020-01-25,4,2020,Childhood lead poisoning,Oregon,,1 to 5,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-19,2020-01-25,4,2020,CRE,Oregon,5,5,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-19,2020-01-25,4,2020,Cryptosporidiosis,Oregon,2,2,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-19,2020-01-25,4,2020,Giardiasis,Oregon,4,4,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-19,2020-01-25,4,2020,Hepatitis A,Oregon,1,1,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-19,2020-01-25,4,2020,HIV,Oregon,3,3,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-19,2020-01-25,4,2020,Legionellosis,Oregon,3,3,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-19,2020-01-25,4,2020,Yersiniosis,Oregon,1,1,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-26,2020-02-01,5,2020,CRE,Oregon,7,7,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-26,2020-02-01,5,2020,Cryptosporidiosis,Oregon,1,1,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-26,2020-02-01,5,2020,Extrapulmonary NTM,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-26,2020-02-01,5,2020,Giardiasis,Oregon,3,3,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-26,2020-02-01,5,2020,Hepatitis B (acute),Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-26,2020-02-01,5,2020,HIV,Oregon,3,3,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-26,2020-02-01,5,2020,Legionellosis,Oregon,2,2,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-26,2020-02-01,5,2020,Mpox,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-26,2020-02-01,5,2020,Pertussis,Oregon,21,21,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-02,2020-02-08,6,2020,Extrapulmonary NTM,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-02,2020-02-08,6,2020,Hepatitis B (acute),Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-02,2020-02-08,6,2020,HIV,Oregon,5,5,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-02,2020-02-08,6,2020,Mpox,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-02,2020-02-08,6,2020,Pertussis,Oregon,17,17,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-02,2020-02-08,6,2020,Pesticide Poisoning,Oregon,4,4,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-09,2020-02-15,7,2020,E. coli (STEC),Oregon,6,6,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-09,2020-02-15,7,2020,Extrapulmonary NTM,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-09,2020-02-15,7,2020,Haemophilus influenzae,Oregon,3,3,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-09,2020-02-15,7,2020,Hepatitis B (acute),Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-09,2020-02-15,7,2020,Mpox,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-09,2020-02-15,7,2020,Pertussis,Oregon,11,11,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-09,2020-02-15,7,2020,Pesticide Poisoning,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-09,2020-02-15,7,2020,Vibriosis,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-16,2020-02-22,8,2020,Coccidioidomycosis,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-16,2020-02-22,8,2020,E. coli (STEC),Oregon,1,1,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-16,2020-02-22,8,2020,Haemophilus influenzae,Oregon,2,2,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-16,2020-02-22,8,2020,Pesticide Poisoning,Oregon,3,3,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-16,2020-02-22,8,2020,Vibriosis,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-23,2020-02-29,9,2020,Adult lead poisoning,Oregon,1,1,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-23,2020-02-29,9,2020,Coccidioidomycosis,Oregon,1,1,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-02-23,2020-02-29,9,2020,Cryptococcosis,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-12,2020-01-18,3,2020,Adult lead poisoning,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-12,2020-01-18,3,2020,Coccidioidomycosis,Oregon,1,1,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-12,2020-01-18,3,2020,E. coli (STEC),Oregon,1,1,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-12,2020-01-18,3,2020,Haemophilus influenzae,Oregon,3,3,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-12,2020-01-18,3,2020,Lyme disease,Oregon,1,1,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-12,2020-01-18,3,2020,Tuberculosis,Oregon,2,2,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-12,2020-01-18,3,2020,Vibriosis,Oregon,1,1,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-19,2020-01-25,4,2020,Adult lead poisoning,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-19,2020-01-25,4,2020,Coccidioidomycosis,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-19,2020-01-25,4,2020,Cryptococcosis,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-19,2020-01-25,4,2020,E. coli (STEC),Oregon,3,3,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-19,2020-01-25,4,2020,Hepatitis B (chronic),Oregon,7,7,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-19,2020-01-25,4,2020,Hepatitis C (acute),Oregon,1,1,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-19,2020-01-25,4,2020,Lyme disease,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-19,2020-01-25,4,2020,Meningococcal disease,Oregon,0,0,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-19,2020-01-25,4,2020,Salmonellosis,Oregon,2,2,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-19,2020-01-25,4,2020,Shigellosis,Oregon,5,5,2026-01-11,2026-01-17,2,2026,2026-01-21
2020-01-19,2020-01-25,4,2020,Tuberculosis,Oregon,1,1,2026-01-11,2026-01-17,2,2026,2026-01-21
