IndexNumber,FirstDateOfWeek,LastDateOfWeek,MMWRweek,MMWRyear,Disease,Cases
79,2020-03-08,2020-03-14,11,2020,Adult lead poisoning,2
80,2020-03-08,2020-03-14,11,2020,Campylobacteriosis,8
81,2020-03-08,2020-03-14,11,2020,Childhood lead poisoning,3
82,2020-03-08,2020-03-14,11,2020,Chlamydia,386
83,2020-03-08,2020-03-14,11,2020,Cryptosporidiosis,1
84,2020-03-08,2020-03-14,11,2020,Early syphilis,25
85,2020-03-08,2020-03-14,11,2020,Haemophilus influenzae,2
86,2020-03-08,2020-03-14,11,2020,Malaria,0
87,2020-03-08,2020-03-14,11,2020,Measles,0
88,2020-03-15,2020-03-21,12,2020,Coccidioidomycosis,1
89,2020-03-15,2020-03-21,12,2020,CRE,1
90,2020-03-15,2020-03-21,12,2020,Cryptococcosis,1
91,2020-03-15,2020-03-21,12,2020,E. coli (STEC),4
92,2020-03-15,2020-03-21,12,2020,Giardiasis,3
93,2020-03-15,2020-03-21,12,2020,Hepatitis A,0
94,2020-03-15,2020-03-21,12,2020,HIV,2
95,2020-03-15,2020-03-21,12,2020,Salmonellosis,3
96,2020-03-15,2020-03-21,12,2020,Tuberculosis,2
97,2020-03-15,2020-03-21,12,2020,Yersiniosis,0
98,2020-03-22,2020-03-28,13,2020,Adult lead poisoning,1
99,2020-03-22,2020-03-28,13,2020,Cryptosporidiosis,3
100,2020-03-22,2020-03-28,13,2020,Hepatitis B (acute),0
101,2020-03-22,2020-03-28,13,2020,Hepatitis B (chronic),1
102,2020-01-12,2020-01-18,3,2020,Cryptococcosis,0
103,2020-01-12,2020-01-18,3,2020,Extrapulmonary NTM,1
104,2020-01-12,2020-01-18,3,2020,Hepatitis C (chronic),100
105,2020-01-12,2020-01-18,3,2020,HIV,3
106,2020-01-12,2020-01-18,3,2020,Salmonellosis,6
107,2020-01-19,2020-01-25,4,2020,Congenital syphilis,0
108,2020-01-19,2020-01-25,4,2020,Gonorrhea,144
109,2020-01-19,2020-01-25,4,2020,Hepatitis B (acute),0
110,2020-01-19,2020-01-25,4,2020,HUS,0
111,2020-01-19,2020-01-25,4,2020,Listeriosis,0
112,2020-01-19,2020-01-25,4,2020,Mpox,0
113,2020-01-19,2020-01-25,4,2020,Mumps,0
114,2020-01-19,2020-01-25,4,2020,Pertussis,17
115,2020-01-19,2020-01-25,4,2020,Pesticide Poisoning,0
116,2020-01-19,2020-01-25,4,2020,Vibriosis,0
117,2020-01-26,2020-02-01,5,2020,Campylobacteriosis,24
118,2020-01-26,2020-02-01,5,2020,Childhood lead poisoning,3
119,2020-01-26,2020-02-01,5,2020,Chlamydia,426
120,2020-01-26,2020-02-01,5,2020,Early syphilis,19
121,2020-01-26,2020-02-01,5,2020,Haemophilus influenzae,3
122,2020-01-26,2020-02-01,5,2020,Hepatitis C (chronic),129
123,2020-01-26,2020-02-01,5,2020,Malaria,0
124,2020-01-26,2020-02-01,5,2020,Measles,0
125,2020-02-02,2020-02-08,6,2020,Coccidioidomycosis,0
126,2020-02-02,2020-02-08,6,2020,CRE,4
127,2020-02-02,2020-02-08,6,2020,Cryptococcosis,2
128,2020-02-02,2020-02-08,6,2020,E. coli (STEC),5
129,2020-02-02,2020-02-08,6,2020,Giardiasis,2
130,2020-02-02,2020-02-08,6,2020,Gonorrhea,129
131,2020-02-02,2020-02-08,6,2020,Hepatitis A,0
132,2020-02-02,2020-02-08,6,2020,Salmonellosis,2
133,2020-02-02,2020-02-08,6,2020,Tuberculosis,1
134,2020-02-02,2020-02-08,6,2020,Vibriosis,0
135,2020-02-02,2020-02-08,6,2020,Yersiniosis,0
136,2020-02-09,2020-02-15,7,2020,Adult lead poisoning,0
137,2020-02-09,2020-02-15,7,2020,Childhood lead poisoning,3
138,2020-02-09,2020-02-15,7,2020,Cryptosporidiosis,1
139,2020-02-09,2020-02-15,7,2020,Hepatitis B (chronic),12
140,2020-02-09,2020-02-15,7,2020,Hepatitis C (acute),1
141,2020-02-09,2020-02-15,7,2020,Legionellosis,2
142,2020-02-09,2020-02-15,7,2020,Lyme disease,1
143,2020-02-09,2020-02-15,7,2020,Meningococcal disease,0
144,2020-02-09,2020-02-15,7,2020,Shigellosis,3
145,2020-02-09,2020-02-15,7,2020,West Nile virus,0
146,2020-02-16,2020-02-22,8,2020,CRE,8
147,2020-02-16,2020-02-22,8,2020,Cryptococcosis,1
148,2020-02-16,2020-02-22,8,2020,Extrapulmonary NTM,3
149,2020-02-16,2020-02-22,8,2020,Giardiasis,3
150,2020-02-16,2020-02-22,8,2020,HIV,5
151,2020-02-16,2020-02-22,8,2020,Salmonellosis,2
152,2020-02-16,2020-02-22,8,2020,Tuberculosis,1
153,2020-01-12,2020-01-18,3,2020,Campylobacteriosis,22
154,2020-01-12,2020-01-18,3,2020,Childhood lead poisoning,3
155,2020-01-12,2020-01-18,3,2020,Chlamydia,378
156,2020-01-12,2020-01-18,3,2020,CRE,2
157,2020-01-12,2020-01-18,3,2020,Cryptosporidiosis,0
158,2020-01-12,2020-01-18,3,2020,Early syphilis,22
159,2020-01-12,2020-01-18,3,2020,Giardiasis,3
160,2020-01-12,2020-01-18,3,2020,Gonorrhea,166
161,2020-01-12,2020-01-18,3,2020,Hepatitis A,2
162,2020-01-12,2020-01-18,3,2020,Malaria,0
163,2020-01-12,2020-01-18,3,2020,Measles,0
164,2020-01-12,2020-01-18,3,2020,Yersiniosis,1
165,2020-01-19,2020-01-25,4,2020,Childhood lead poisoning,3
166,2020-01-19,2020-01-25,4,2020,CRE,5
167,2020-01-19,2020-01-25,4,2020,Cryptosporidiosis,2
168,2020-01-19,2020-01-25,4,2020,Giardiasis,4
169,2020-01-19,2020-01-25,4,2020,Hepatitis A,1
170,2020-01-19,2020-01-25,4,2020,HIV,3
171,2020-01-19,2020-01-25,4,2020,Legionellosis,3
172,2020-01-19,2020-01-25,4,2020,Yersiniosis,1
173,2020-01-26,2020-02-01,5,2020,CRE,7
174,2020-01-26,2020-02-01,5,2020,Cryptosporidiosis,1
175,2020-01-26,2020-02-01,5,2020,Extrapulmonary NTM,0
176,2020-01-26,2020-02-01,5,2020,Giardiasis,3
177,2020-01-26,2020-02-01,5,2020,Hepatitis B (acute),0
178,2020-01-26,2020-02-01,5,2020,HIV,3
179,2020-01-26,2020-02-01,5,2020,Legionellosis,2
180,2020-01-26,2020-02-01,5,2020,Mpox,0
181,2020-01-26,2020-02-01,5,2020,Pertussis,21
182,2020-02-02,2020-02-08,6,2020,Extrapulmonary NTM,0
183,2020-02-02,2020-02-08,6,2020,Hepatitis B (acute),0
184,2020-02-02,2020-02-08,6,2020,HIV,5
185,2020-02-02,2020-02-08,6,2020,Mpox,0
186,2020-02-02,2020-02-08,6,2020,Pertussis,17
187,2020-02-02,2020-02-08,6,2020,Pesticide Poisoning,4
188,2020-02-09,2020-02-15,7,2020,E. coli (STEC),6
189,2020-02-09,2020-02-15,7,2020,Extrapulmonary NTM,0
190,2020-02-09,2020-02-15,7,2020,Haemophilus influenzae,3
191,2020-02-09,2020-02-15,7,2020,Hepatitis B (acute),0
192,2020-02-09,2020-02-15,7,2020,Mpox,0
193,2020-02-09,2020-02-15,7,2020,Pertussis,11
194,2020-02-09,2020-02-15,7,2020,Pesticide Poisoning,0
195,2020-02-09,2020-02-15,7,2020,Vibriosis,0
196,2020-02-16,2020-02-22,8,2020,Coccidioidomycosis,0
197,2020-02-16,2020-02-22,8,2020,E. coli (STEC),1
198,2020-02-16,2020-02-22,8,2020,Haemophilus influenzae,2
199,2020-02-16,2020-02-22,8,2020,Pesticide Poisoning,3
200,2020-02-16,2020-02-22,8,2020,Vibriosis,0
201,2020-02-23,2020-02-29,9,2020,Adult lead poisoning,1
202,2020-02-23,2020-02-29,9,2020,Coccidioidomycosis,1
203,2020-02-23,2020-02-29,9,2020,Cryptococcosis,0
204,2020-01-12,2020-01-18,3,2020,Adult lead poisoning,0
205,2020-01-12,2020-01-18,3,2020,Coccidioidomycosis,1
206,2020-01-12,2020-01-18,3,2020,E. coli (STEC),1
207,2020-01-12,2020-01-18,3,2020,Haemophilus influenzae,3
208,2020-01-12,2020-01-18,3,2020,Lyme disease,1
209,2020-01-12,2020-01-18,3,2020,Tuberculosis,2
210,2020-01-12,2020-01-18,3,2020,Vibriosis,1
211,2020-01-19,2020-01-25,4,2020,Adult lead poisoning,0
212,2020-01-19,2020-01-25,4,2020,Coccidioidomycosis,0
213,2020-01-19,2020-01-25,4,2020,Cryptococcosis,0
214,2020-01-19,2020-01-25,4,2020,E. coli (STEC),3
215,2020-01-19,2020-01-25,4,2020,Hepatitis B (chronic),7
216,2020-01-19,2020-01-25,4,2020,Hepatitis C (acute),1
217,2020-01-19,2020-01-25,4,2020,Lyme disease,0
218,2020-01-19,2020-01-25,4,2020,Meningococcal disease,0
219,2020-01-19,2020-01-25,4,2020,Salmonellosis,2
220,2020-01-19,2020-01-25,4,2020,Shigellosis,5
221,2020-01-19,2020-01-25,4,2020,Tuberculosis,1
222,2020-01-19,2020-01-25,4,2020,West Nile virus,0
223,2020-01-26,2020-02-01,5,2020,Adult lead poisoning,2
224,2020-01-26,2020-02-01,5,2020,Cryptococcosis,1
225,2020-01-26,2020-02-01,5,2020,Hepatitis B (chronic),7
226,2020-01-26,2020-02-01,5,2020,Hepatitis C (acute),3
227,2020-01-26,2020-02-01,5,2020,Lyme disease,0
228,2020-01-26,2020-02-01,5,2020,Meningococcal disease,0
229,2020-01-26,2020-02-01,5,2020,Mumps,1
230,2020-01-26,2020-02-01,5,2020,Salmonellosis,3
231,2020-01-26,2020-02-01,5,2020,Shigellosis,5
232,2020-01-26,2020-02-01,5,2020,Tuberculosis,0
233,2020-01-26,2020-02-01,5,2020,West Nile virus,0
234,2020-02-02,2020-02-08,6,2020,Chlamydia,390
235,2020-02-02,2020-02-08,6,2020,Congenital syphilis,0
236,2020-02-02,2020-02-08,6,2020,Early syphilis,24
237,2020-02-02,2020-02-08,6,2020,Hepatitis B (chronic),5
238,2020-02-02,2020-02-08,6,2020,Hepatitis C (acute),0
239,2020-02-02,2020-02-08,6,2020,Hepatitis C (chronic),81
240,2020-02-02,2020-02-08,6,2020,HUS,0
241,2020-02-02,2020-02-08,6,2020,Listeriosis,0
242,2020-02-02,2020-02-08,6,2020,Malaria,1
243,2020-02-02,2020-02-08,6,2020,Measles,0
244,2020-02-02,2020-02-08,6,2020,Meningococcal disease,0
245,2020-02-02,2020-02-08,6,2020,Mumps,0
246,2020-02-02,2020-02-08,6,2020,Shigellosis,6
247,2020-02-09,2020-02-15,7,2020,Campylobacteriosis,16
248,2020-02-09,2020-02-15,7,2020,Chlamydia,417
249,2020-02-09,2020-02-15,7,2020,Congenital syphilis,1
250,2020-02-09,2020-02-15,7,2020,Early syphilis,16
251,2020-02-09,2020-02-15,7,2020,Gonorrhea,109
252,2020-02-09,2020-02-15,7,2020,Hepatitis A,0
253,2020-02-09,2020-02-15,7,2020,Hepatitis C (chronic),97
254,2020-03-22,2020-03-28,13,2020,Hepatitis C (acute),0
255,2020-03-22,2020-03-28,13,2020,Legionellosis,0
256,2020-03-22,2020-03-28,13,2020,Lyme disease,1
257,2020-03-22,2020-03-28,13,2020,Meningococcal disease,0
258,2020-03-22,2020-03-28,13,2020,Mpox,0
259,2020-03-22,2020-03-28,13,2020,Mumps,0
260,2020-03-22,2020-03-28,13,2020,Pertussis,1
261,2020-03-22,2020-03-28,13,2020,Shigellosis,2
262,2020-03-22,2020-03-28,13,2020,West Nile virus,0
263,2020-03-29,2020-04-04,14,2020,Cryptococcosis,0
264,2020-03-29,2020-04-04,14,2020,Extrapulmonary NTM,2
265,2020-03-29,2020-04-04,14,2020,Hepatitis C (chronic),44
266,2020-03-29,2020-04-04,14,2020,HIV,1
267,2020-03-29,2020-04-04,14,2020,Malaria,0
268,2020-04-05,2020-04-11,15,2020,Congenital syphilis,0
269,2020-04-05,2020-04-11,15,2020,E. coli (STEC),3
270,2020-04-05,2020-04-11,15,2020,Gonorrhea,64
271,2020-04-05,2020-04-11,15,2020,Hepatitis A,1
272,2020-04-05,2020-04-11,15,2020,Hepatitis B (acute),2
273,2020-04-05,2020-04-11,15,2020,HUS,0
274,2020-04-05,2020-04-11,15,2020,Listeriosis,0
275,2020-04-05,2020-04-11,15,2020,Mpox,0
276,2020-04-05,2020-04-11,15,2020,Mumps,0
277,2020-04-05,2020-04-11,15,2020,Pertussis,2
278,2020-04-05,2020-04-11,15,2020,Pesticide Poisoning,5
279,2020-04-05,2020-04-11,15,2020,Vibriosis,0
280,2020-04-12,2020-04-18,16,2020,Campylobacteriosis,8
281,2020-04-12,2020-04-18,16,2020,Childhood lead poisoning,3
282,2020-04-12,2020-04-18,16,2020,Chlamydia,176
283,2020-04-12,2020-04-18,16,2020,Early syphilis,11
284,2020-04-12,2020-04-18,16,2020,Haemophilus influenzae,0
285,2020-04-12,2020-04-18,16,2020,Hepatitis C (chronic),41
286,2020-04-12,2020-04-18,16,2020,Malaria,0
287,2020-04-12,2020-04-18,16,2020,Measles,0
288,2020-04-19,2020-04-25,17,2020,Coccidioidomycosis,1
289,2020-04-19,2020-04-25,17,2020,CRE,0
290,2020-04-19,2020-04-25,17,2020,Cryptococcosis,0
291,2020-04-19,2020-04-25,17,2020,E. coli (STEC),1
292,2020-04-19,2020-04-25,17,2020,Giardiasis,5
293,2020-04-19,2020-04-25,17,2020,Gonorrhea,86
294,2020-04-19,2020-04-25,17,2020,Hepatitis A,1
295,2020-04-19,2020-04-25,17,2020,Mumps,0
296,2020-04-19,2020-04-25,17,2020,Salmonellosis,3
297,2020-04-19,2020-04-25,17,2020,Tuberculosis,0
298,2020-04-19,2020-04-25,17,2020,Vibriosis,0
299,2020-04-19,2020-04-25,17,2020,Yersiniosis,0
300,2020-04-26,2020-05-02,18,2020,Adult lead poisoning,0
301,2020-04-26,2020-05-02,18,2020,Childhood lead poisoning,3
302,2020-04-26,2020-05-02,18,2020,Cryptosporidiosis,3
303,2020-04-26,2020-05-02,18,2020,Hepatitis B (chronic),2
304,2020-04-26,2020-05-02,18,2020,Hepatitis C (acute),0
305,2020-02-23,2020-02-29,9,2020,Congenital syphilis,0
306,2020-02-23,2020-02-29,9,2020,Hepatitis B (acute),0
307,2020-02-23,2020-02-29,9,2020,HUS,0
308,2020-02-23,2020-02-29,9,2020,Listeriosis,0
309,2020-02-23,2020-02-29,9,2020,Meningococcal disease,0
310,2020-02-23,2020-02-29,9,2020,Mpox,0
311,2020-02-23,2020-02-29,9,2020,Mumps,0
312,2020-02-23,2020-02-29,9,2020,Pertussis,6
313,2020-02-23,2020-02-29,9,2020,Pesticide Poisoning,3
314,2020-02-23,2020-02-29,9,2020,Shigellosis,2
315,2020-03-01,2020-03-07,10,2020,Campylobacteriosis,5
316,2020-03-01,2020-03-07,10,2020,Chlamydia,363
317,2020-03-01,2020-03-07,10,2020,Early syphilis,24
318,2020-03-01,2020-03-07,10,2020,Haemophilus influenzae,4
319,2020-03-01,2020-03-07,10,2020,Hepatitis C (chronic),91
320,2020-03-01,2020-03-07,10,2020,Malaria,0
321,2020-03-01,2020-03-07,10,2020,Measles,0
322,2020-03-08,2020-03-14,11,2020,Coccidioidomycosis,1
323,2020-03-08,2020-03-14,11,2020,E. coli (STEC),2
324,2020-03-08,2020-03-14,11,2020,Gonorrhea,112
325,2020-03-08,2020-03-14,11,2020,Hepatitis A,0
326,2020-03-08,2020-03-14,11,2020,Listeriosis,0
327,2020-03-08,2020-03-14,11,2020,Pesticide Poisoning,2
328,2020-03-08,2020-03-14,11,2020,Tuberculosis,3
329,2020-03-08,2020-03-14,11,2020,Vibriosis,0
330,2020-03-08,2020-03-14,11,2020,Yersiniosis,1
331,2020-03-15,2020-03-21,12,2020,Adult lead poisoning,1
332,2020-03-15,2020-03-21,12,2020,Childhood lead poisoning,3
333,2020-03-15,2020-03-21,12,2020,Cryptosporidiosis,1
334,2020-03-15,2020-03-21,12,2020,Haemophilus influenzae,1
335,2020-03-15,2020-03-21,12,2020,Hepatitis B (chronic),4
336,2020-03-15,2020-03-21,12,2020,Hepatitis C (acute),0
337,2020-03-15,2020-03-21,12,2020,Legionellosis,0
338,2020-03-15,2020-03-21,12,2020,Lyme disease,0
339,2020-03-15,2020-03-21,12,2020,Meningococcal disease,0
340,2020-03-15,2020-03-21,12,2020,West Nile virus,0
341,2020-03-22,2020-03-28,13,2020,Coccidioidomycosis,1
342,2020-03-22,2020-03-28,13,2020,CRE,4
343,2020-03-22,2020-03-28,13,2020,Cryptococcosis,0
344,2020-03-22,2020-03-28,13,2020,Extrapulmonary NTM,0
345,2020-03-22,2020-03-28,13,2020,Giardiasis,3
346,2020-03-22,2020-03-28,13,2020,HIV,1
347,2020-03-22,2020-03-28,13,2020,Salmonellosis,2
348,2020-03-22,2020-03-28,13,2020,Tuberculosis,2
349,2020-03-29,2020-04-04,14,2020,Congenital syphilis,0
350,2020-03-29,2020-04-04,14,2020,Hepatitis B (acute),0
351,2020-03-29,2020-04-04,14,2020,Hepatitis B (chronic),3
352,2020-03-29,2020-04-04,14,2020,Hepatitis C (acute),0
353,2020-03-29,2020-04-04,14,2020,HUS,1
354,2020-03-29,2020-04-04,14,2020,Legionellosis,0
355,2020-02-23,2020-02-29,9,2020,E. coli (STEC),4
356,2020-02-23,2020-02-29,9,2020,Haemophilus influenzae,2
357,2020-02-23,2020-02-29,9,2020,Hepatitis B (chronic),11
358,2020-02-23,2020-02-29,9,2020,Hepatitis C (acute),1
359,2020-02-23,2020-02-29,9,2020,Lyme disease,1
360,2020-02-23,2020-02-29,9,2020,Salmonellosis,5
361,2020-02-23,2020-02-29,9,2020,Tuberculosis,4
362,2020-02-23,2020-02-29,9,2020,Vibriosis,0
363,2020-02-23,2020-02-29,9,2020,West Nile virus,0
364,2020-03-01,2020-03-07,10,2020,Adult lead poisoning,2
365,2020-03-01,2020-03-07,10,2020,Coccidioidomycosis,2
366,2020-03-01,2020-03-07,10,2020,Cryptococcosis,1
367,2020-03-01,2020-03-07,10,2020,Hepatitis B (chronic),11
368,2020-03-01,2020-03-07,10,2020,Hepatitis C (acute),3
369,2020-03-01,2020-03-07,10,2020,Lyme disease,0
370,2020-03-01,2020-03-07,10,2020,Meningococcal disease,0
371,2020-03-01,2020-03-07,10,2020,Mumps,0
372,2020-03-01,2020-03-07,10,2020,Salmonellosis,2
373,2020-03-01,2020-03-07,10,2020,Shigellosis,3
374,2020-03-01,2020-03-07,10,2020,Tuberculosis,2
375,2020-03-01,2020-03-07,10,2020,West Nile virus,0
376,2020-03-08,2020-03-14,11,2020,Congenital syphilis,0
377,2020-03-08,2020-03-14,11,2020,Cryptococcosis,2
378,2020-03-08,2020-03-14,11,2020,Hepatitis B (chronic),3
379,2020-03-08,2020-03-14,11,2020,Hepatitis C (acute),1
380,2020-03-08,2020-03-14,11,2020,Hepatitis C (chronic),102
381,2020-03-08,2020-03-14,11,2020,HUS,0
382,2020-03-08,2020-03-14,11,2020,Lyme disease,1
383,2020-03-08,2020-03-14,11,2020,Meningococcal disease,0
384,2020-03-08,2020-03-14,11,2020,Mumps,0
385,2020-03-08,2020-03-14,11,2020,Salmonellosis,9
386,2020-03-08,2020-03-14,11,2020,Shigellosis,2
387,2020-03-08,2020-03-14,11,2020,West Nile virus,0
388,2020-03-15,2020-03-21,12,2020,Campylobacteriosis,8
389,2020-03-15,2020-03-21,12,2020,Chlamydia,348
390,2020-03-15,2020-03-21,12,2020,Congenital syphilis,0
391,2020-03-15,2020-03-21,12,2020,Early syphilis,12
392,2020-03-15,2020-03-21,12,2020,Gonorrhea,126
393,2020-03-15,2020-03-21,12,2020,Hepatitis C (chronic),68
394,2020-03-15,2020-03-21,12,2020,HUS,0
395,2020-03-15,2020-03-21,12,2020,Listeriosis,0
396,2020-03-15,2020-03-21,12,2020,Malaria,0
397,2020-03-15,2020-03-21,12,2020,Measles,0
398,2020-03-15,2020-03-21,12,2020,Mumps,0
399,2020-03-15,2020-03-21,12,2020,Shigellosis,2
400,2020-03-22,2020-03-28,13,2020,Campylobacteriosis,8
401,2020-03-22,2020-03-28,13,2020,Childhood lead poisoning,3
402,2020-03-22,2020-03-28,13,2020,Chlamydia,213
403,2020-03-22,2020-03-28,13,2020,Congenital syphilis,0
404,2020-03-22,2020-03-28,13,2020,Early syphilis,14
405,2020-02-09,2020-02-15,7,2020,HUS,0
406,2020-02-09,2020-02-15,7,2020,Listeriosis,0
407,2020-02-09,2020-02-15,7,2020,Malaria,0
408,2020-02-09,2020-02-15,7,2020,Measles,0
409,2020-02-09,2020-02-15,7,2020,Mumps,0
410,2020-02-16,2020-02-22,8,2020,Campylobacteriosis,11
411,2020-02-16,2020-02-22,8,2020,Childhood lead poisoning,3
412,2020-02-16,2020-02-22,8,2020,Chlamydia,329
413,2020-02-16,2020-02-22,8,2020,Congenital syphilis,0
414,2020-02-16,2020-02-22,8,2020,Cryptosporidiosis,0
415,2020-02-16,2020-02-22,8,2020,Early syphilis,26
416,2020-02-16,2020-02-22,8,2020,Gonorrhea,116
417,2020-02-16,2020-02-22,8,2020,Hepatitis A,0
418,2020-02-16,2020-02-22,8,2020,Hepatitis C (chronic),85
419,2020-02-16,2020-02-22,8,2020,Listeriosis,0
420,2020-02-16,2020-02-22,8,2020,Malaria,0
421,2020-02-16,2020-02-22,8,2020,Measles,0
422,2020-02-16,2020-02-22,8,2020,Yersiniosis,0
423,2020-02-23,2020-02-29,9,2020,Childhood lead poisoning,3
424,2020-02-23,2020-02-29,9,2020,CRE,4
425,2020-02-23,2020-02-29,9,2020,Cryptosporidiosis,1
426,2020-02-23,2020-02-29,9,2020,Giardiasis,5
427,2020-02-23,2020-02-29,9,2020,Gonorrhea,147
428,2020-02-23,2020-02-29,9,2020,Hepatitis A,1
429,2020-02-23,2020-02-29,9,2020,Legionellosis,0
430,2020-02-23,2020-02-29,9,2020,Yersiniosis,0
431,2020-03-01,2020-03-07,10,2020,Childhood lead poisoning,3
432,2020-03-01,2020-03-07,10,2020,CRE,0
433,2020-03-01,2020-03-07,10,2020,Cryptosporidiosis,3
434,2020-03-01,2020-03-07,10,2020,Extrapulmonary NTM,0
435,2020-03-01,2020-03-07,10,2020,Giardiasis,5
436,2020-03-01,2020-03-07,10,2020,Hepatitis B (acute),0
437,2020-03-01,2020-03-07,10,2020,HIV,8
438,2020-03-01,2020-03-07,10,2020,Legionellosis,0
439,2020-03-01,2020-03-07,10,2020,Mpox,0
440,2020-03-01,2020-03-07,10,2020,Pertussis,8
441,2020-03-08,2020-03-14,11,2020,CRE,3
442,2020-03-08,2020-03-14,11,2020,Extrapulmonary NTM,0
443,2020-03-08,2020-03-14,11,2020,Giardiasis,4
444,2020-03-08,2020-03-14,11,2020,Hepatitis B (acute),0
445,2020-03-08,2020-03-14,11,2020,HIV,3
446,2020-03-08,2020-03-14,11,2020,Legionellosis,2
